;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20
32;BPI-032-CO 2019-08-23 06:59 AM;BPI-032-CO 2019-08-23 08:15 AM;BPI-032-CO 2019-08-27 06:57 AM;BPI-032-CO 2019-08-27 07:50 AM;NA;NA;NA;NA;BPI-032-CO 2020-09-02 05:54 AM;BPI-032-CO 2020-09-02 08:10 AM;BPI-032-CO 2020-09-17 06:06 AM;BPI-032-CO 2020-09-17 09:05 AM;BPI-032-CO 2021-02-24 06:12 AM;BPI-032-CO 2021-02-24 07:00 AM;BPI-032-CO 2021-02-24 08:13 AM;BPI-032-CO 2021-03-27 07:17 AM;BPI-032-CO 2021-08-04 06:12 AM;BPI-032-CO 2021-08-04 06:59 AM;BPI-032-CO 2021-08-04 07:28 AM;BPI-032-CO 2021-09-13 07:43 AM
33;BPI-033-CO 2019-08-23 06:53 AM;BPI-033-CO 2019-08-23 08:41 AM;BPI-033-CO 2019-08-27 06:34 AM;BPI-033-CO 2019-08-27 08:11 AM;NA;NA;NA;NA;BPI-033-CO 2020-09-02 06:19 AM;BPI-033-CO 2020-09-02 07:06 AM;BPI-033-CO 2020-09-17 07:34 AM;BPI-033-CO 2020-09-22 06:34 AM;BPI-033-CO 2021-02-24 06:57 AM;BPI-033-CO 2021-02-24 07:35 AM;BPI-033-CO 2021-02-24 08:46 AM;BPI-033-CO 2021-03-27 08:37 AM;BPI-033-CO 2021-08-04 06:14 AM;BPI-033-CO 2021-08-04 06:33 AM;BPI-033-CO 2021-08-04 07:26 AM;BPI-033-CO 2021-09-13 06:28 AM
34;BPI-034-CO 2019-08-23 07:36 AM;BPI-034-CO 2019-08-23 08:50 AM;BPI-034-CO 2019-08-27 06:05 AM;BPI-034-CO 2019-08-27 07:04 AM;NA;NA;NA;NA;BPI-034-CO 2020-09-02 06:42 AM;BPI-034-CO 2020-09-02 09:13 AM;BPI-034-CO 2020-09-17 07:57 AM;BPI-034-CO 2020-09-22 06:59 AM;BPI-034-CO 2021-02-24 07:00 AM;BPI-034-CO 2021-02-24 07:33 AM;BPI-034-CO 2021-02-24 09:07 AM;BPI-034-CO 2021-03-27 08:13 AM;BPI-034-CO 2021-08-04 06:44 AM;BPI-034-CO 2021-08-04 07:04 AM;BPI-034-CO 2021-08-04 07:44 AM;BPI-034-CO 2021-09-13 06:53 AM
35;BPI-035-CO 2019-08-23 08:00 AM;BPI-035-CO 2019-08-23 09:14 AM;BPI-035-CO 2019-08-27 06:36 AM;BPI-035-CO 2019-08-27 07:31 AM;NA;NA;NA;NA;BPI-035-CO 2020-09-02 06:16 AM;BPI-035-CO 2020-09-02 08:37 AM;BPI-035-CO 2020-09-17 06:30 AM;BPI-035-CO 2020-09-22 06:08 AM;BPI-035-CO 2021-02-24 06:29 AM;BPI-035-CO 2021-02-24 07:19 AM;BPI-035-CO 2021-02-24 07:53 AM;BPI-035-CO 2021-03-27 07:45 AM;BPI-035-CO 2021-08-04 06:29 AM;BPI-035-CO 2021-08-04 07:09 AM;BPI-035-CO 2021-08-04 07:24 AM;BPI-035-CO 2021-09-13 07:17 AM
36;BPI-036-CO 2019-08-21 07:21 AM;BPI-036-CO 2019-08-21 07:49 AM;BPI-036-CO 2019-08-22 06:00 AM;BPI-036-CO 2019-08-22 06:19 AM;BPI-036-CO 2020-03-02 06:02 AM;BPI-036-CO 2020-03-02 06:40 AM;BPI-036-CO 2020-03-03 08:10 AM;BPI-036-CO 2020-03-03 09:05 AM;BPI-036-CO 2020-08-19 06:38 AM;BPI-036-CO 2020-08-19 07:01 AM;BPI-036-CO 2020-09-16 08:40 AM;BPI-036-CO 2020-09-16 08:57 AM;BPI-036-CO 2021-03-06 06:13 AM;BPI-036-CO 2021-03-11 06:33 AM;BPI-036-CO 2021-03-11 07:28 AM;BPI-036-CO 2021-03-11 09:13 AM;BPI-036-CO 2021-07-22 05:57 AM;BPI-036-CO 2021-07-22 07:17 AM;BPI-036-CO 2021-07-22 08:30 AM;NA
37;BPI-037-CO 2019-08-21 07:22 AM;BPI-037-CO 2019-08-21 07:41 AM;BPI-037-CO 2019-08-22 05:55 AM;BPI-037-CO 2019-08-22 06:22 AM;BPI-037-CO 2020-03-02 06:22 AM;BPI-037-CO 2020-03-02 06:58 AM;BPI-037-CO 2020-03-03 08:28 AM;BPI-037-CO 2020-03-03 08:46 AM;BPI-037-CO 2020-08-19 06:37 AM;BPI-037-CO 2020-08-19 07:01 AM;BPI-037-CO 2020-09-16 07:56 AM;BPI-037-CO 2020-09-16 08:13 AM;BPI-037-CO 2021-03-06 06:35 AM;BPI-037-CO 2021-03-11 06:54 AM;BPI-037-CO 2021-03-11 07:55 AM;BPI-037-CO 2021-03-11 08:34 AM;BPI-037-CO 2021-07-22 06:15 AM;BPI-037-CO 2021-07-22 06:57 AM;BPI-037-CO 2021-07-22 08:05 AM;NA
38;BPI-038-CO 2019-09-11 06:00 AM;BPI-038-CO 2019-09-11 06:18 AM;BPI-038-CO 2019-09-12 07:00 AM;BPI-038-CO 2019-09-12 07:18 AM;BPI-038-CO 2020-03-17 06:27 AM;BPI-038-CO 2020-03-19 08:36 AM;NA;NA;BPI-038-CO 2020-08-25 08:19 AM;BPI-038-CO 2020-08-25 08:42 AM;BPI-038-CO 2020-09-09 08:35 AM;BPI-038-CO 2020-09-09 08:52 AM;BPI-038-CO 2021-02-25 07:12 AM;BPI-038-CO 2021-02-25 08:36 AM;BPI-038-CO 2021-03-26 09:59 AM;BPI-038-CO 2021-03-26 10:10 AM;BPI-038-CO 2021-08-03 08:07 AM;BPI-038-CO 2021-08-03 08:27 AM;NA;NA
39;BPI-039-CO 2019-09-11 05:53 AM;BPI-039-CO 2019-09-11 06:11 AM;BPI-039-CO 2019-09-12 08:14 AM;BPI-039-CO 2019-09-12 08:30 AM;BPI-039-CO 2020-03-17 06:04 AM;BPI-039-CO 2020-03-19 09:08 AM;NA;NA;BPI-039-CO 2020-08-25 08:58 AM;BPI-039-CO 2020-08-25 09:13 AM;BPI-039-CO 2020-09-01 08:06 AM;BPI-039-CO 2020-09-09 07:24 AM;BPI-039-CO 2021-02-25 06:34 AM;BPI-039-CO 2021-02-25 09:07 AM;NA;NA;BPI-039-CO 2021-08-03 05:55 AM;BPI-039-CO 2021-08-03 08:27 AM;NA;NA
40;BPI-040-CO 2019-09-11 07:22 AM;BPI-040-CO 2019-09-11 07:31 AM;BPI-040-CO 2019-09-12 06:00 AM;BPI-040-CO 2019-09-12 06:17 AM;NA;NA;NA;NA;BPI-040-CO 2020-09-01 06:12 AM;BPI-040-CO 2020-09-01 07:32 AM;BPI-040-CO 2020-09-24 06:29 AM;BPI-040-CO 2020-09-24 06:45 AM;BPI-040-CO 2021-02-25 06:40 AM;BPI-040-CO 2021-03-02 08:42 AM;BPI-040-CO 2021-03-26 09:18 AM;NA;BPI-040-CO 2021-08-03 06:06 AM;BPI-040-CO 2021-08-03 07:43 AM;BPI-040-CO 2021-09-10 08:50 AM;BPI-040-CO 2021-09-15 07:50 AM
41;BPI-041-CO 2019-09-11 07:02 AM;BPI-041-CO 2019-09-11 07:42 AM;BPI-041-CO 2019-09-12 05:54 AM;BPI-041-CO 2019-09-12 06:22 AM;NA;NA;NA;NA;BPI-041-CO 2020-09-01 05:49 AM;BPI-041-CO 2020-09-01 07:13 AM;BPI-041-CO 2020-09-24 06:10 AM;BPI-041-CO 2020-09-24 07:05 AM;BPI-041-CO 2021-02-25 06:17 AM;BPI-041-CO 2021-03-02 09:04 AM;BPI-041-CO 2021-03-26 08:48 AM;NA;BPI-041-CO 2021-08-03 06:25 AM;BPI-041-CO 2021-08-03 07:56 AM;BPI-041-CO 2021-09-10 08:22 AM;BPI-041-CO 2021-09-15 07:31 AM
42;BPI-042-CO 2019-08-30 06:20 AM;BPI-042-CO 2019-08-30 06:47 AM;BPI-042-CO 2019-08-30 07:38 AM;BPI-042-CO 2019-08-30 08:05 AM;BPI-042-CO 2020-02-18 08:29 AM;BPI-042-CO 2020-02-18 08:48 AM;BPI-042-CO 2020-02-19 06:57 AM;BPI-042-CO 2020-02-19 07:16 AM;BPI-042-CO 2020-08-10 07:38 AM;BPI-042-CO 2020-08-10 08:06 AM;BPI-042-CO 2020-09-07 07:58 AM;BPI-042-CO 2020-09-07 08:34 AM;BPI-042-CO 2021-02-10 07:12 AM;BPI-042-CO 2021-02-10 08:08 AM;BPI-042-CO 2021-02-10 09:05 AM;BPI-042-CO 2021-02-23 08:28 AM;BPI-042-CO 2021-08-12 08:29 AM;BPI-042-CO 2021-08-27 07:05 AM;BPI-042-CO 2021-08-27 07:25 AM;BPI-042-CO 2021-09-14 09:04 AM
43;BPI-043-CO 2019-08-30 05:57 AM;BPI-043-CO 2019-08-30 06:14 AM;BPI-043-CO 2019-08-30 07:14 AM;BPI-043-CO 2019-08-30 07:39 AM;BPI-043-CO 2020-02-18 08:04 AM;BPI-043-CO 2020-02-18 09:08 AM;BPI-043-CO 2020-02-19 06:31 AM;BPI-043-CO 2020-02-19 07:37 AM;BPI-043-CO 2020-08-10 07:17 AM;BPI-043-CO 2020-08-10 07:35 AM;BPI-043-CO 2020-09-07 07:16 AM;BPI-043-CO 2020-09-07 08:58 AM;BPI-043-CO 2021-02-10 06:53 AM;BPI-043-CO 2021-02-10 08:47 AM;BPI-043-CO 2021-02-10 09:24 AM;BPI-043-CO 2021-02-23 08:07 AM;BPI-043-CO 2021-08-12 07:58 AM;BPI-043-CO 2021-08-27 06:37 AM;BPI-043-CO 2021-08-27 07:52 AM;BPI-043-CO 2021-09-14 08:43 AM
44;BPI-044-CO 2019-08-30 05:49 AM;BPI-044-CO 2019-08-30 06:58 AM;BPI-044-CO 2019-08-30 07:23 AM;BPI-044-CO 2019-08-30 08:11 AM;BPI-044-CO 2020-02-18 07:31 AM;BPI-044-CO 2020-02-18 07:48 AM;BPI-044-CO 2020-02-19 06:14 AM;BPI-044-CO 2020-02-19 07:53 AM;BPI-044-CO 2020-08-10 07:14 AM;BPI-044-CO 2020-08-10 08:02 AM;BPI-044-CO 2020-09-07 06:53 AM;BPI-044-CO 2020-09-07 09:24 AM;BPI-044-CO 2021-02-10 06:37 AM;BPI-044-CO 2021-02-10 08:28 AM;BPI-044-CO 2021-02-10 09:03 AM;BPI-044-CO 2021-02-23 07:35 AM;BPI-044-CO 2021-08-12 07:39 AM;BPI-044-CO 2021-08-27 06:20 AM;BPI-044-CO 2021-08-27 08:23 AM;BPI-044-CO 2021-09-14 08:19 AM
45;BPI-045-CO 2019-09-03 07:44 AM;BPI-045-CO 2019-09-03 08:14 AM;BPI-045-CO 2019-09-04 05:41 AM;BPI-045-CO 2019-09-04 06:08 AM;BPI-045-CO 2020-03-10 06:23 AM;BPI-045-CO 2020-03-10 06:41 AM;BPI-045-CO 2020-03-13 08:05 AM;BPI-045-CO 2020-03-13 08:20 AM;BPI-045-CO 2020-08-28 06:34 AM;BPI-045-CO 2020-09-02 08:38 AM;BPI-045-CO 2020-09-17 06:49 AM;BPI-045-CO 2020-09-17 08:56 AM;NA;NA;NA;BPI-045-CO 2021-03-24 06:59 AM;BPI-045-CO 2021-08-05 06:00 AM;BPI-045-CO 2021-08-05 09:19 AM;NA;NA
46;BPI-046-CO 2019-10-08 08:26 AM;BPI-046-CO 2019-10-08 08:56 AM;BPI-046-CO 2019-10-09 06:08 AM;BPI-046-CO 2019-10-09 06:46 AM;BPI-046-CO 2020-02-09 09:12 AM;BPI-046-CO 2020-02-09 09:27 AM;BPI-046-CO 2020-02-11 06:14 AM;BPI-046-CO 2020-02-11 09:34 AM;BPI-046-CO 2020-08-25 06:53 AM;BPI-046-CO 2020-08-25 07:33 AM;BPI-046-CO 2020-09-07 08:28 AM;BPI-046-CO 2020-09-07 08:51 AM;BPI-046-CO 2021-02-10 06:37 AM;BPI-046-CO 2021-02-10 09:01 AM;BPI-046-CO 2021-02-10 10:09 AM;BPI-046-CO 2021-03-02 07:20 AM;BPI-046-CO 2021-07-26 08:18 AM;BPI-046-CO 2021-08-02 06:06 AM;BPI-046-CO 2021-08-02 06:29 AM;BPI-046-CO 2021-08-02 09:07 AM
47;BPI-047-CO 2019-09-03 07:50 AM;BPI-047-CO 2019-09-03 08:04 AM;BPI-047-CO 2019-09-04 05:43 AM;BPI-047-CO 2019-09-04 06:05 AM;BPI-047-CO 2020-03-10 06:22 AM;BPI-047-CO 2020-03-10 06:39 AM;BPI-047-CO 2020-03-13 08:41 AM;BPI-047-CO 2020-03-13 08:57 AM;BPI-047-CO 2020-08-28 06:11 AM;BPI-047-CO 2020-09-02 09:02 AM;BPI-047-CO 2020-09-17 06:24 AM;BPI-047-CO 2020-09-17 08:37 AM;NA;NA;NA;BPI-047-CO 2021-03-24 06:21 AM;BPI-047-CO 2021-08-05 06:19 AM;BPI-047-CO 2021-08-05 09:36 AM;NA;NA
48;BPI-048-CO 2019-08-21 05:56 AM;BPI-048-CO 2019-08-21 06:11 AM;BPI-048-CO 2019-08-22 07:40 AM;BPI-048-CO 2019-08-22 07:56 AM;BPI-048-CO 2020-03-02 08:12 AM;BPI-048-CO 2020-03-02 08:30 AM;BPI-048-CO 2020-03-03 06:21 AM;BPI-048-CO 2020-03-03 06:38 AM;BPI-048-CO 2020-08-21 09:27 AM;NA;BPI-048-CO 2020-09-16 06:22 AM;BPI-048-CO 2020-09-16 06:40 AM;BPI-048-CO 2021-03-06 08:32 AM;BPI-048-CO 2021-03-11 06:58 AM;BPI-048-CO 2021-03-11 08:15 AM;BPI-048-CO 2021-03-11 09:41 AM;BPI-048-CO 2021-07-22 06:36 AM;BPI-048-CO 2021-07-22 07:47 AM;BPI-048-CO 2021-07-22 08:44 AM;NA
49;BPI-049-CO 2019-08-21 05:47 AM;BPI-049-CO 2019-08-21 06:18 AM;BPI-049-CO 2019-08-22 07:32 AM;BPI-049-CO 2019-08-22 08:07 AM;BPI-049-CO 2020-03-02 07:53 AM;BPI-049-CO 2020-03-02 08:52 AM;BPI-049-CO 2020-03-03 06:00 AM;BPI-049-CO 2020-03-03 06:59 AM;BPI-049-CO 2020-08-21 09:20 AM;NA;BPI-049-CO 2020-09-16 06:05 AM;BPI-049-CO 2020-09-16 07:00 AM;BPI-049-CO 2021-03-06 08:11 AM;BPI-049-CO 2021-03-11 06:33 AM;BPI-049-CO 2021-03-11 07:43 AM;BPI-049-CO 2021-03-11 09:20 AM;BPI-049-CO 2021-07-22 06:17 AM;BPI-049-CO 2021-07-22 07:29 AM;BPI-049-CO 2021-07-22 08:23 AM;NA
50;BPI-050-CO 2019-08-22 08:41 AM;BPI-050-CO 2019-08-22 09:02 AM;BPI-050-CO 2019-08-23 05:39 AM;BPI-050-CO 2019-08-23 05:56 AM;BPI-050-CO 2020-02-07 05:54 AM;BPI-050-CO 2020-02-07 08:48 AM;BPI-050-CO 2020-03-02 07:30 AM;BPI-050-CO 2020-03-03 07:23 AM;BPI-050-CO 2020-08-19 05:50 AM;BPI-050-CO 2020-08-19 06:03 AM;BPI-050-CO 2020-09-16 07:20 AM;BPI-050-CO 2020-09-16 09:33 AM;BPI-050-CO 2021-03-06 07:46 AM;BPI-050-CO 2021-03-11 06:28 AM;BPI-050-CO 2021-03-11 07:49 AM;BPI-050-CO 2021-03-11 09:07 AM;BPI-050-CO 2021-07-22 06:09 AM;BPI-050-CO 2021-07-22 07:04 AM;BPI-050-CO 2021-07-22 07:20 AM;BPI-050-CO 2021-08-27 08:08 AM
51;BPI-051-CO 2019-08-22 08:43 AM;BPI-051-CO 2019-08-22 09:01 AM;BPI-051-CO 2019-08-23 05:35 AM;BPI-051-CO 2019-08-23 05:58 AM;BPI-051-CO 2020-02-07 06:10 AM;BPI-051-CO 2020-02-07 08:33 AM;BPI-051-CO 2020-03-02 07:16 AM;BPI-051-CO 2020-03-03 07:38 AM;BPI-051-CO 2020-08-19 05:44 AM;BPI-051-CO 2020-08-19 06:04 AM;BPI-051-CO 2020-09-16 07:35 AM;BPI-051-CO 2020-09-16 09:18 AM;BPI-051-CO 2021-03-06 07:30 AM;BPI-051-CO 2021-03-11 06:51 AM;BPI-051-CO 2021-03-11 08:10 AM;BPI-051-CO 2021-03-11 09:25 AM;BPI-051-CO 2021-07-22 06:35 AM;BPI-051-CO 2021-07-22 06:49 AM;BPI-051-CO 2021-07-22 07:36 AM;BPI-051-CO 2021-08-27 08:26 AM
52;BPI-052-CO 2019-10-04 06:24 AM;BPI-052-CO 2019-10-04 06:55 AM;BPI-052-CO 2019-10-05 07:49 AM;BPI-052-CO 2019-10-05 08:27 AM;BPI-052-CO 2020-03-07 07:15 AM;BPI-052-CO 2020-03-07 07:42 AM;BPI-052-CO 2020-03-16 06:27 AM;BPI-052-CO 2020-03-16 06:46 AM;BPI-052-CO 2020-08-18 07:40 AM;BPI-052-CO 2020-08-18 08:15 AM;BPI-052-CO 2020-09-28 07:38 AM;BPI-052-CO 2020-09-28 08:00 AM;BPI-052-CO 2021-01-29 08:58 AM;BPI-052-CO 2021-03-29 07:33 AM;BPI-052-CO 2021-04-02 09:02 AM;BPI-052-CO 2021-04-02 09:24 AM;BPI-052-CO 2021-07-29 06:21 AM;BPI-052-CO 2021-08-25 07:00 AM;BPI-052-CO 2021-08-31 08:07 AM;BPI-052-CO 2021-08-31 08:46 AM
53;BPI-053-CO 2019-10-04 06:11 AM;BPI-053-CO 2019-10-04 06:59 AM;BPI-053-CO 2019-10-05 07:44 AM;BPI-053-CO 2019-10-05 08:11 AM;BPI-053-CO 2020-03-07 07:36 AM;BPI-053-CO 2020-03-07 08:10 AM;BPI-053-CO 2020-03-16 06:09 AM;BPI-053-CO 2020-03-16 07:22 AM;BPI-053-CO 2020-08-18 07:54 AM;BPI-053-CO 2020-08-18 08:39 AM;BPI-053-CO 2020-09-28 07:04 AM;BPI-053-CO 2020-09-28 09:10 AM;BPI-053-CO 2021-01-29 08:25 AM;BPI-053-CO 2021-03-29 08:14 AM;BPI-053-CO 2021-04-02 06:51 AM;BPI-053-CO 2021-04-02 07:39 AM;BPI-053-CO 2021-07-29 07:10 AM;BPI-053-CO 2021-08-25 07:22 AM;BPI-053-CO 2021-08-31 08:25 AM;BPI-053-CO 2021-08-31 08:42 AM
54;BPI-054-CO 2019-10-04 05:58 AM;BPI-054-CO 2019-10-04 06:30 AM;BPI-054-CO 2019-10-05 08:03 AM;BPI-054-CO 2019-10-05 08:28 AM;BPI-054-CO 2020-03-07 07:15 AM;BPI-054-CO 2020-03-07 07:55 AM;BPI-054-CO 2020-03-16 07:05 AM;BPI-054-CO 2020-03-16 07:35 AM;BPI-054-CO 2020-08-18 07:36 AM;BPI-054-CO 2020-08-18 08:11 AM;BPI-054-CO 2020-09-28 08:28 AM;BPI-054-CO 2020-09-28 08:50 AM;BPI-054-CO 2021-01-29 08:03 AM;BPI-054-CO 2021-03-29 07:56 AM;BPI-054-CO 2021-04-02 07:41 AM;BPI-054-CO 2021-04-02 08:24 AM;BPI-054-CO 2021-07-29 06:40 AM;BPI-054-CO 2021-08-25 06:36 AM;BPI-054-CO 2021-08-31 08:05 AM;BPI-054-CO 2021-08-31 08:25 AM
55;NA;BPI-055-CO 2019-10-04 07:54 AM;BPI-055-CO 2019-10-05 05:58 AM;BPI-055-CO 2019-10-05 06:17 AM;BPI-055-CO 2020-03-07 08:36 AM;BPI-055-CO 2020-03-07 08:53 AM;BPI-055-CO 2020-03-16 08:23 AM;BPI-055-CO 2020-03-18 06:11 AM;BPI-055-CO 2020-08-18 06:35 AM;BPI-055-CO 2020-08-18 06:56 AM;BPI-055-CO 2020-09-28 06:25 AM;BPI-055-CO 2020-09-28 09:24 AM;BPI-055-CO 2021-02-08 08:44 AM;BPI-055-CO 2021-03-29 08:49 AM;BPI-055-CO 2021-04-06 07:37 AM;BPI-055-CO 2021-04-06 07:52 AM;BPI-055-CO 2021-08-25 09:13 AM;BPI-055-CO 2021-08-25 09:41 AM;BPI-055-CO 2021-08-31 09:46 AM;BPI-055-CO 2021-08-31 10:04 AM
56;BPI-056-CO 2019-09-13 06:03 AM;BPI-056-CO 2019-09-13 07:45 AM;BPI-056-CO 2019-09-16 05:57 AM;BPI-056-CO 2019-09-16 06:50 AM;BPI-056-CO 2020-02-05 06:14 AM;BPI-056-CO 2020-02-05 06:45 AM;BPI-056-CO 2020-02-21 08:41 AM;BPI-056-CO 2020-02-21 09:27 AM;BPI-056-CO 2020-08-17 07:55 AM;BPI-056-CO 2020-08-17 08:17 AM;BPI-056-CO 2020-09-15 05:47 AM;BPI-056-CO 2020-09-15 09:15 AM;BPI-056-CO 2021-02-18 07:09 AM;BPI-056-CO 2021-02-18 08:13 AM;BPI-056-CO 2021-03-23 06:29 AM;BPI-056-CO 2021-03-23 07:45 AM;BPI-056-CO 2021-07-30 06:54 AM;BPI-056-CO 2021-07-31 09:16 AM;BPI-056-CO 2021-09-19 06:48 AM;BPI-056-CO 2021-09-19 09:17 AM
57;BPI-057-CO 2019-09-13 06:25 AM;BPI-057-CO 2019-09-13 08:11 AM;BPI-057-CO 2019-09-16 06:15 AM;BPI-057-CO 2019-09-16 06:32 AM;BPI-057-CO 2020-02-05 06:30 AM;BPI-057-CO 2020-02-05 06:59 AM;BPI-057-CO 2020-02-21 09:00 AM;BPI-057-CO 2020-02-21 09:14 AM;BPI-057-CO 2020-08-17 07:58 AM;BPI-057-CO 2020-08-17 08:19 AM;BPI-057-CO 2020-09-15 06:04 AM;BPI-057-CO 2020-09-15 09:29 AM;BPI-057-CO 2021-02-18 07:27 AM;BPI-057-CO 2021-02-18 08:32 AM;BPI-057-CO 2021-03-23 06:47 AM;BPI-057-CO 2021-03-23 08:02 AM;BPI-057-CO 2021-07-30 07:11 AM;BPI-057-CO 2021-07-31 09:32 AM;BPI-057-CO 2021-09-19 07:05 AM;BPI-057-CO 2021-09-19 09:31 AM
58;BPI-058-CO 2019-09-17 07:19 AM;BPI-058-CO 2019-09-17 07:33 AM;BPI-058-CO 2019-09-20 09:34 AM;BPI-058-CO 2019-09-20 09:44 AM;BPI-058-CO 2020-03-12 07:49 AM;BPI-058-CO 2020-03-12 08:04 AM;BPI-058-CO 2020-03-13 06:09 AM;BPI-058-CO 2020-03-13 07:41 AM;BPI-058-CO 2020-09-01 08:30 AM;BPI-058-CO 2020-09-01 09:12 AM;BPI-058-CO 2020-09-25 08:34 AM;BPI-058-CO 2020-09-25 08:50 AM;BPI-058-CO 2021-03-09 07:56 AM;BPI-058-CO 2021-03-30 09:34 AM;BPI-058-CO 2021-04-01 07:24 AM;BPI-058-CO 2021-04-01 07:45 AM;NA;NA;BPI-058-CO 2021-09-13 06:10 AM;BPI-058-CO 2021-09-13 09:38 AM
59;BPI-059-CO 2019-09-17 05:55 AM;BPI-059-CO 2019-09-17 06:12 AM;BPI-059-CO 2019-09-20 08:55 AM;BPI-059-CO 2019-09-20 09:07 AM;BPI-059-CO 2020-03-12 06:31 AM;BPI-059-CO 2020-03-12 06:50 AM;BPI-059-CO 2020-03-13 07:05 AM;BPI-059-CO 2020-03-13 07:20 AM;NA;BPI-059-CO 2020-09-01 09:10 AM;BPI-059-CO 2020-09-25 07:12 AM;BPI-059-CO 2020-09-25 07:29 AM;BPI-059-CO 2021-03-09 07:18 AM;BPI-059-CO 2021-03-30 08:57 AM;BPI-059-CO 2021-03-31 06:28 AM;BPI-059-CO 2021-04-01 08:50 AM;NA;NA;BPI-059-CO 2021-09-13 06:47 AM;BPI-059-CO 2021-09-13 07:18 AM
60;BPI-060-CO 2019-09-17 06:36 AM;BPI-060-CO 2019-09-17 06:54 AM;BPI-060-CO 2019-09-20 08:22 AM;BPI-060-CO 2019-09-20 08:33 AM;BPI-060-CO 2020-03-12 07:09 AM;BPI-060-CO 2020-03-12 07:28 AM;BPI-060-CO 2020-03-13 06:27 AM;BPI-060-CO 2020-03-13 06:45 AM;BPI-060-CO 2020-09-01 08:49 AM;BPI-060-CO 2020-09-01 09:50 AM;BPI-060-CO 2020-09-25 07:50 AM;BPI-060-CO 2020-09-25 08:10 AM;BPI-060-CO 2021-03-09 07:38 AM;BPI-060-CO 2021-03-30 08:32 AM;BPI-060-CO 2021-03-31 07:06 AM;BPI-060-CO 2021-04-01 08:27 AM;NA;NA;BPI-060-CO 2021-09-13 06:23 AM;BPI-060-CO 2021-09-13 07:37 AM
61;BPI-061-CO 2019-09-05 05:44 AM;BPI-061-CO 2019-09-05 06:09 AM;BPI-061-CO 2019-09-06 07:32 AM;BPI-061-CO 2019-09-06 07:53 AM;NA;NA;NA;NA;BPI-061-CO 2020-08-28 08:33 AM;BPI-061-CO 2020-08-28 08:53 AM;BPI-061-CO 2020-09-22 08:14 AM;BPI-061-CO 2020-09-23 07:46 AM;BPI-061-CO 2021-02-26 08:48 AM;BPI-061-CO 2021-02-26 09:11 AM;BPI-061-CO 2021-03-24 06:43 AM;BPI-061-CO 2021-03-24 10:16 AM;BPI-061-CO 2021-08-05 06:38 AM;BPI-061-CO 2021-08-05 07:10 AM;BPI-061-CO 2021-09-24 07:08 AM;BPI-061-CO 2021-09-24 09:57 AM
62;BPI-062-CO 2019-09-05 05:43 AM;BPI-062-CO 2019-09-05 06:12 AM;BPI-062-CO 2019-09-06 07:32 AM;BPI-062-CO 2019-09-06 07:55 AM;NA;NA;NA;NA;BPI-062-CO 2020-08-28 08:30 AM;BPI-062-CO 2020-08-28 08:59 AM;BPI-062-CO 2020-09-22 07:45 AM;BPI-062-CO 2020-09-23 07:19 AM;BPI-062-CO 2021-02-26 08:44 AM;BPI-062-CO 2021-02-26 09:17 AM;BPI-062-CO 2021-03-24 06:26 AM;BPI-062-CO 2021-03-24 10:48 AM;BPI-062-CO 2021-08-05 06:19 AM;BPI-062-CO 2021-08-05 06:48 AM;BPI-062-CO 2021-09-24 06:26 AM;BPI-062-CO 2021-09-24 10:26 AM
